024-12-11 17:34:48.138 | WARNING  | chatchat.server.utils:detect_xf_models:107 - cannot connect to xinference host: http://127.0.0.1:9997, please check your configuration.
2024-12-11 17:34:48.139 | WARNING  | chatchat.server.utils:get_default_llm:205 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2024-12-11 17:34:48.159 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-12-11 17:34:48.162 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-12-11 17:34:48.164 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-12-11 17:34:48.166 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-12-12 09:14:45.918 | WARNING  | chatchat.server.utils:detect_xf_models:107 - cannot connect to xinference host: http://127.0.0.1:9997, please check your configuration.
2024-12-12 09:14:45.919 | WARNING  | chatchat.server.utils:get_default_llm:205 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2024-12-12 09:14:45.941 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-12-12 09:14:45.944 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-12-12 09:14:45.946 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-12-12 10:59:38.025 | WARNING  | chatchat.server.utils:detect_xf_models:109 - cannot connect to xinference host: http://127.0.0.1:9997, please check your configuration.
2024-12-12 10:59:38.025 | WARNING  | chatchat.server.utils:get_default_llm:208 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2024-12-12 10:59:38.053 | WARNING  | chatchat.server.utils:get_default_embedding:218 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-12-12 10:59:38.056 | WARNING  | chatchat.server.utils:get_default_embedding:218 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-12-12 10:59:38.058 | WARNING  | chatchat.server.utils:get_default_embedding:218 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-12-12 13:56:36.504 | WARNING  | chatchat.server.utils:detect_xf_models:109 - cannot connect to xinference host: http://127.0.0.1:9997, please check your configuration.
2024-12-12 13:56:36.505 | WARNING  | chatchat.server.utils:get_default_llm:208 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2024-12-12 13:56:36.526 | WARNING  | chatchat.server.utils:get_default_embedding:218 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-12-12 13:56:36.529 | WARNING  | chatchat.server.utils:get_default_embedding:218 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-12-12 13:56:36.531 | WARNING  | chatchat.server.utils:get_default_embedding:218 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2024-12-12 14:02:37.303 | WARNING  | chatchat.server.utils:get_default_llm:208 - default llm model glm4-chat is not found in available llms, using qwen2-instruct instead
2024-12-12 14:29:29.136 | WARNING  | chatchat.server.utils:get_default_llm:208 - default llm model glm4-chat is not found in available llms, using qwen2-instruct instead
